ibge_code,city_name,state_code,state_name,city_state_pair,city_name_no_accent
1100015,Alta Floresta D'Oeste,RO,Rondônia,"Alta Floresta D'Oeste, RO",Alta Floresta D'Oeste
1100023,Ariquemes,RO,Rondônia,"Ariquemes, RO",Ariquemes
1100031,Cabixi,RO,Rondônia,"Cabixi, RO",Cabixi
1100049,Cacoal,RO,Rondônia,"Cacoal, RO",Cacoal
1100056,Cerejeiras,RO,Rondônia,"Cerejeiras, RO",Cerejeiras
1100064,Colorado Do Oeste,RO,Rondônia,"Colorado Do Oeste, RO",Colorado Do Oeste
1100072,Corumbiara,RO,Rondônia,"Corumbiara, RO",Corumbiara
1100080,Costa Marques,RO,Rondônia,"Costa Marques, RO",Costa Marques
1100098,Espigão D'Oeste,RO,Rondônia,"Espigão D'Oeste, RO",Espigao D'Oeste
1100106,Guajará-Mirim,RO,Rondônia,"Guajará-Mirim, RO",Guajara-Mirim
1100114,Jaru,RO,Rondônia,"Jaru, RO",Jaru
1100122,Ji-Paraná,RO,Rondônia,"Ji-Paraná, RO",Ji-Parana
1100130,Machadinho D'Oeste,RO,Rondônia,"Machadinho D'Oeste, RO",Machadinho D'Oeste
1100148,Nova Brasilândia D'Oeste,RO,Rondônia,"Nova Brasilândia D'Oeste, RO",Nova Brasilandia D'Oeste
1100155,Ouro Preto Do Oeste,RO,Rondônia,"Ouro Preto Do Oeste, RO",Ouro Preto Do Oeste
1100189,Pimenta Bueno,RO,Rondônia,"Pimenta Bueno, RO",Pimenta Bueno
1100205,Porto Velho,RO,Rondônia,"Porto Velho, RO",Porto Velho
1100254,Presidente Médici,RO,Rondônia,"Presidente Médici, RO",Presidente Medici
1100262,Rio Crespo,RO,Rondônia,"Rio Crespo, RO",Rio Crespo
1100288,Rolim De Moura,RO,Rondônia,"Rolim De Moura, RO",Rolim De Moura
1100296,Santa Luzia D'Oeste,RO,Rondônia,"Santa Luzia D'Oeste, RO",Santa Luzia D'Oeste
1100304,Vilhena,RO,Rondônia,"Vilhena, RO",Vilhena
1100320,São Miguel Do Guaporé,RO,Rondônia,"São Miguel Do Guaporé, RO",Sao Miguel Do Guapore
1100338,Nova Mamoré,RO,Rondônia,"Nova Mamoré, RO",Nova Mamore
1100346,Alvorada D'Oeste,RO,Rondônia,"Alvorada D'Oeste, RO",Alvorada D'Oeste
1100379,Alto Alegre Dos Parecis,RO,Rondônia,"Alto Alegre Dos Parecis, RO",Alto Alegre Dos Parecis
1100403,Alto Paraíso,RO,Rondônia,"Alto Paraíso, RO",Alto Paraiso
1100452,Buritis,RO,Rondônia,"Buritis, RO",Buritis
1100502,Novo Horizonte Do Oeste,RO,Rondônia,"Novo Horizonte Do Oeste, RO",Novo Horizonte Do Oeste
1100601,Cacaulândia,RO,Rondônia,"Cacaulândia, RO",Cacaulandia
1100700,Campo Novo De Rondônia,RO,Rondônia,"Campo Novo De Rondônia, RO",Campo Novo De Rondonia
1100809,Candeias Do Jamari,RO,Rondônia,"Candeias Do Jamari, RO",Candeias Do Jamari
1100908,Castanheiras,RO,Rondônia,"Castanheiras, RO",Castanheiras
1100924,Chupinguaia,RO,Rondônia,"Chupinguaia, RO",Chupinguaia
1100940,Cujubim,RO,Rondônia,"Cujubim, RO",Cujubim
1101005,Governador Jorge Teixeira,RO,Rondônia,"Governador Jorge Teixeira, RO",Governador Jorge Teixeira
1101104,Itapuã Do Oeste,RO,Rondônia,"Itapuã Do Oeste, RO",Itapua Do Oeste
1101203,Ministro Andreazza,RO,Rondônia,"Ministro Andreazza, RO",Ministro Andreazza
1101302,Mirante Da Serra,RO,Rondônia,"Mirante Da Serra, RO",Mirante Da Serra
1101401,Monte Negro,RO,Rondônia,"Monte Negro, RO",Monte Negro
1101435,Nova União,RO,Rondônia,"Nova União, RO",Nova Uniao
1101450,Parecis,RO,Rondônia,"Parecis, RO",Parecis
1101468,Pimenteiras Do Oeste,RO,Rondônia,"Pimenteiras Do Oeste, RO",Pimenteiras Do Oeste
1101476,Primavera De Rondônia,RO,Rondônia,"Primavera De Rondônia, RO",Primavera De Rondonia
1101484,São Felipe D'Oeste,RO,Rondônia,"São Felipe D'Oeste, RO",Sao Felipe D'Oeste
1101492,São Francisco Do Guaporé,RO,Rondônia,"São Francisco Do Guaporé, RO",Sao Francisco Do Guapore
1101500,Seringueiras,RO,Rondônia,"Seringueiras, RO",Seringueiras
1101559,Teixeirópolis,RO,Rondônia,"Teixeirópolis, RO",Teixeiropolis
1101609,Theobroma,RO,Rondônia,"Theobroma, RO",Theobroma
1101708,Urupá,RO,Rondônia,"Urupá, RO",Urupa
1101757,Vale Do Anari,RO,Rondônia,"Vale Do Anari, RO",Vale Do Anari
1101807,Vale Do Paraíso,RO,Rondônia,"Vale Do Paraíso, RO",Vale Do Paraiso
1200013,Acrelândia,AC,Acre,"Acrelândia, AC",Acrelandia
1200054,Assis Brasil,AC,Acre,"Assis Brasil, AC",Assis Brasil
1200104,Brasiléia,AC,Acre,"Brasiléia, AC",Brasileia
1200138,Bujari,AC,Acre,"Bujari, AC",Bujari
1200179,Capixaba,AC,Acre,"Capixaba, AC",Capixaba
1200203,Cruzeiro Do Sul,AC,Acre,"Cruzeiro Do Sul, AC",Cruzeiro Do Sul
1200252,Epitaciolândia,AC,Acre,"Epitaciolândia, AC",Epitaciolandia
1200302,Feijó,AC,Acre,"Feijó, AC",Feijo
1200328,Jordão,AC,Acre,"Jordão, AC",Jordao
1200336,Mâncio Lima,AC,Acre,"Mâncio Lima, AC",Mancio Lima
1200344,Manoel Urbano,AC,Acre,"Manoel Urbano, AC",Manoel Urbano
1200351,Marechal Thaumaturgo,AC,Acre,"Marechal Thaumaturgo, AC",Marechal Thaumaturgo
1200385,Plácido De Castro,AC,Acre,"Plácido De Castro, AC",Placido De Castro
1200393,Porto Walter,AC,Acre,"Porto Walter, AC",Porto Walter
1200401,Rio Branco,AC,Acre,"Rio Branco, AC",Rio Branco
1200427,Rodrigues Alves,AC,Acre,"Rodrigues Alves, AC",Rodrigues Alves
1200435,Santa Rosa Do Purus,AC,Acre,"Santa Rosa Do Purus, AC",Santa Rosa Do Purus
1200450,Senador Guiomard,AC,Acre,"Senador Guiomard, AC",Senador Guiomard
1200500,Sena Madureira,AC,Acre,"Sena Madureira, AC",Sena Madureira
1200609,Tarauacá,AC,Acre,"Tarauacá, AC",Tarauaca
1200708,Xapuri,AC,Acre,"Xapuri, AC",Xapuri
1200807,Porto Acre,AC,Acre,"Porto Acre, AC",Porto Acre
1300029,Alvarães,AM,Amazonas,"Alvarães, AM",Alvaraes
1300060,Amaturá,AM,Amazonas,"Amaturá, AM",Amatura
1300086,Anamã,AM,Amazonas,"Anamã, AM",Anama
1300102,Anori,AM,Amazonas,"Anori, AM",Anori
1300144,Apuí,AM,Amazonas,"Apuí, AM",Apui
1300201,Atalaia Do Norte,AM,Amazonas,"Atalaia Do Norte, AM",Atalaia Do Norte
1300300,Autazes,AM,Amazonas,"Autazes, AM",Autazes
1300409,Barcelos,AM,Amazonas,"Barcelos, AM",Barcelos
1300508,Barreirinha,AM,Amazonas,"Barreirinha, AM",Barreirinha
1300607,Benjamin Constant,AM,Amazonas,"Benjamin Constant, AM",Benjamin Constant
1300631,Beruri,AM,Amazonas,"Beruri, AM",Beruri
1300680,Boa Vista Do Ramos,AM,Amazonas,"Boa Vista Do Ramos, AM",Boa Vista Do Ramos
1300706,Boca Do Acre,AM,Amazonas,"Boca Do Acre, AM",Boca Do Acre
1300805,Borba,AM,Amazonas,"Borba, AM",Borba
1300839,Caapiranga,AM,Amazonas,"Caapiranga, AM",Caapiranga
1300904,Canutama,AM,Amazonas,"Canutama, AM",Canutama
1301001,Carauari,AM,Amazonas,"Carauari, AM",Carauari
1301100,Careiro,AM,Amazonas,"Careiro, AM",Careiro
1301159,Careiro Da Várzea,AM,Amazonas,"Careiro Da Várzea, AM",Careiro Da Varzea
1301209,Coari,AM,Amazonas,"Coari, AM",Coari
1301308,Codajás,AM,Amazonas,"Codajás, AM",Codajas
1301407,Eirunepé,AM,Amazonas,"Eirunepé, AM",Eirunepe
1301506,Envira,AM,Amazonas,"Envira, AM",Envira
1301605,Fonte Boa,AM,Amazonas,"Fonte Boa, AM",Fonte Boa
1301654,Guajará,AM,Amazonas,"Guajará, AM",Guajara
1301704,Humaitá,AM,Amazonas,"Humaitá, AM",Humaita
1301803,Ipixuna,AM,Amazonas,"Ipixuna, AM",Ipixuna
1301852,Iranduba,AM,Amazonas,"Iranduba, AM",Iranduba
1301902,Itacoatiara,AM,Amazonas,"Itacoatiara, AM",Itacoatiara
1301951,Itamarati,AM,Amazonas,"Itamarati, AM",Itamarati
1302009,Itapiranga,AM,Amazonas,"Itapiranga, AM",Itapiranga
1302108,Japurá,AM,Amazonas,"Japurá, AM",Japura
1302207,Juruá,AM,Amazonas,"Juruá, AM",Jurua
1302306,Jutaí,AM,Amazonas,"Jutaí, AM",Jutai
1302405,Lábrea,AM,Amazonas,"Lábrea, AM",Labrea
1302504,Manacapuru,AM,Amazonas,"Manacapuru, AM",Manacapuru
1302553,Manaquiri,AM,Amazonas,"Manaquiri, AM",Manaquiri
1302603,Manaus,AM,Amazonas,"Manaus, AM",Manaus
1302702,Manicoré,AM,Amazonas,"Manicoré, AM",Manicore
1302801,Maraã,AM,Amazonas,"Maraã, AM",Maraa
1302900,Maués,AM,Amazonas,"Maués, AM",Maues
1303007,Nhamundá,AM,Amazonas,"Nhamundá, AM",Nhamunda
1303106,Nova Olinda Do Norte,AM,Amazonas,"Nova Olinda Do Norte, AM",Nova Olinda Do Norte
1303205,Novo Airão,AM,Amazonas,"Novo Airão, AM",Novo Airao
1303304,Novo Aripuanã,AM,Amazonas,"Novo Aripuanã, AM",Novo Aripuana
1303403,Parintins,AM,Amazonas,"Parintins, AM",Parintins
1303502,Pauini,AM,Amazonas,"Pauini, AM",Pauini
1303536,Presidente Figueiredo,AM,Amazonas,"Presidente Figueiredo, AM",Presidente Figueiredo
1303569,Rio Preto Da Eva,AM,Amazonas,"Rio Preto Da Eva, AM",Rio Preto Da Eva
1303601,Santa Isabel Do Rio Negro,AM,Amazonas,"Santa Isabel Do Rio Negro, AM",Santa Isabel Do Rio Negro
1303700,Santo Antônio Do Içá,AM,Amazonas,"Santo Antônio Do Içá, AM",Santo Antonio Do Ica
