product_category_name_english,Cluster_Name,order_count,total_revenue,avg_price,customer_count
agro_industry_and_commerce,High Monetary Per Order & Total Spent Products Customers,179,83569.05,339.7115853658537,178
agro_industry_and_commerce,High Total Spent Products & Monetary Per Order Customers,3,272.9,45.48333333333333,3
air_conditioning,High Monetary Per Order & Total Spent Products Customers,242,54149.0,186.07903780068727,240
air_conditioning,High Total Spent Products & Monetary Per Order Customers,11,1813.38,164.8527272727273,11
art,High Monetary Per Order & Total Spent Products Customers,199,24373.03,112.83810185185185,199
art,High Total Spent Products & Monetary Per Order Customers,3,348.94,116.31333333333333,3
arts_and_craftmanship,High Monetary Per Order & Total Spent Products Customers,22,1684.11,73.22217391304348,20
arts_and_craftmanship,High Total Spent Products & Monetary Per Order Customers,1,129.9,129.9,1
audio,High Monetary Per Order & Total Spent Products Customers,336,50690.48,138.87802739726027,335
audio,High Total Spent Products & Monetary Per Order Customers,14,1759.89,117.32600000000001,14
auto,High Monetary Per Order & Total Spent Products Customers,3812,605041.77,141.46405658171616,3779
auto,High Total Spent Products & Monetary Per Order Customers,85,11710.74,114.81117647058824,73
baby,High Monetary Per Order & Total Spent Products Customers,2803,425449.61,137.1975524024508,2786
baby,High Total Spent Products & Monetary Per Order Customers,82,9030.0,95.05263157894737,72
bed_bath_table,High Monetary Per Order & Total Spent Products Customers,9045,1049895.62,93.2825961794758,8853
bed_bath_table,High Total Spent Products & Monetary Per Order Customers,372,42655.4,75.09753521126761,292
books_general_interest,High Monetary Per Order & Total Spent Products Customers,503,47496.98,85.88965641952984,498
books_general_interest,High Total Spent Products & Monetary Per Order Customers,9,700.47,58.3725,8
books_imported,High Monetary Per Order & Total Spent Products Customers,52,4832.86,79.2272131147541,51
books_imported,High Total Spent Products & Monetary Per Order Customers,1,18.99,18.99,1
books_technical,High Monetary Per Order & Total Spent Products Customers,259,19236.61,71.51156133828997,258
books_technical,High Total Spent Products & Monetary Per Order Customers,1,34.3,34.3,1
cds_dvds_musicals,High Monetary Per Order & Total Spent Products Customers,12,730.0,52.142857142857146,12
christmas_supplies,High Monetary Per Order & Total Spent Products Customers,122,8604.5,58.138513513513516,122
christmas_supplies,High Total Spent Products & Monetary Per Order Customers,6,222.34,31.762857142857143,6
cine_photo,High Monetary Per Order & Total Spent Products Customers,62,6587.21,96.87073529411765,62
cine_photo,High Total Spent Products & Monetary Per Order Customers,3,358.15,71.63,3
computers,High Monetary Per Order & Total Spent Products Customers,179,239674.61,1109.604675925926,177
computers,High Total Spent Products & Monetary Per Order Customers,2,3137.0,784.25,2
computers_accessories,High Monetary Per Order & Total Spent Products Customers,6503,909626.09,116.52909172431463,6407
computers_accessories,High Total Spent Products & Monetary Per Order Customers,186,32651.48,118.30246376811594,150
consoles_games,High Monetary Per Order & Total Spent Products Customers,1041,162527.92,139.38929674099487,1037
consoles_games,High Total Spent Products & Monetary Per Order Customers,21,3586.71,143.4684,21
construction_tools_construction,High Monetary Per Order & Total Spent Products Customers,725,142038.4,155.0637554585153,721
construction_tools_construction,High Total Spent Products & Monetary Per Order Customers,23,4936.47,141.042,23
construction_tools_lights,High Monetary Per Order & Total Spent Products Customers,238,40849.03,133.05872964169382,238
construction_tools_lights,High Total Spent Products & Monetary Per Order Customers,6,889.87,148.31166666666667,6
construction_tools_safety,High Monetary Per Order & Total Spent Products Customers,159,40176.77,214.84903743315508,159
construction_tools_safety,High Total Spent Products & Monetary Per Order Customers,8,1800.74,150.06166666666667,7
cool_stuff,High Monetary Per Order & Total Spent Products Customers,3552,648096.58,166.43466358500257,3544
cool_stuff,High Total Spent Products & Monetary Per Order Customers,80,14212.91,152.82698924731181,71
costruction_tools_garden,High Monetary Per Order & Total Spent Products Customers,187,24457.89,104.52089743589744,185
costruction_tools_garden,High Total Spent Products & Monetary Per Order Customers,7,1742.2,158.38181818181818,6
costruction_tools_tools,High Monetary Per Order & Total Spent Products Customers,94,15604.7,154.50198019801982,94
costruction_tools_tools,High Total Spent Products & Monetary Per Order Customers,3,468.2,117.05,3
diapers_and_hygiene,High Monetary Per Order & Total Spent Products Customers,27,1567.59,40.19461538461538,26
drinks,High Monetary Per Order & Total Spent Products Customers,280,21558.28,60.38733893557423,278
drinks,High Total Spent Products & Monetary Per Order Customers,17,1296.28,44.69931034482759,14
dvds_blu_ray,High Monetary Per Order & Total Spent Products Customers,58,6310.139999999999,90.14485714285713,57
dvds_blu_ray,High Total Spent Products & Monetary Per Order Customers,1,149.0,149.0,1
electronics,High Monetary Per Order & Total Spent Products Customers,2501,164164.2,58.73495527728086,2494
electronics,High Total Spent Products & Monetary Per Order Customers,49,2615.01,52.300200000000004,46
fashio_female_clothing,High Monetary Per Order & Total Spent Products Customers,36,2563.78,61.04238095238096,36
fashio_female_clothing,High Total Spent Products & Monetary Per Order Customers,3,239.85999999999999,39.97666666666667,3
fashion_bags_accessories,High Monetary Per Order & Total Spent Products Customers,1752,151307.41,75.2773184079602,1713
fashion_bags_accessories,High Total Spent Products & Monetary Per Order Customers,112,10912.42,77.39304964539006,85
fashion_childrens_clothes,High Monetary Per Order & Total Spent Products Customers,8,569.85,71.23125,8
fashion_male_clothing,High Monetary Per Order & Total Spent Products Customers,108,11202.76,80.01971428571429,106
